1;2018-06-04T22:00:05.70Z;Service started
10153;2018-06-04T23:53:49.80Z;onLocationChanged;Location[gps 48,119928,11,571106 hAcc=11 et=+14d14h24m41s122ms alt=576.0322265625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10154;2018-06-04T23:53:49.81Z;onStatusChanged;2
10155;2018-06-04T23:53:50.79Z;onGpsStatusChangedStatus;10/28
10156;2018-06-04T23:53:50.81Z;onLocationChanged;Location[gps 48,119928,11,571106 hAcc=11 et=+14d14h24m42s122ms alt=576.000244140625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10157;2018-06-04T23:53:50.82Z;onStatusChanged;2
10158;2018-06-04T23:53:51.79Z;onGpsStatusChangedStatus;10/28
10159;2018-06-04T23:53:51.81Z;onLocationChanged;Location[gps 48,119928,11,571106 hAcc=11 et=+14d14h24m43s121ms alt=576.024169921875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10160;2018-06-04T23:53:52.79Z;onGpsStatusChangedStatus;10/28
10161;2018-06-04T23:53:52.81Z;onLocationChanged;Location[gps 48,119928,11,571106 hAcc=11 et=+14d14h24m44s127ms alt=576.029541015625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10162;2018-06-04T23:53:52.82Z;onStatusChanged;2
10163;2018-06-04T23:53:53.79Z;onGpsStatusChangedStatus;10/28
10164;2018-06-04T23:53:53.81Z;onLocationChanged;Location[gps 48,119928,11,571106 hAcc=10 et=+14d14h24m45s121ms alt=576.0380859375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10165;2018-06-04T23:53:54.79Z;onGpsStatusChangedStatus;10/28
10166;2018-06-04T23:53:54.80Z;onLocationChanged;Location[gps 48,119928,11,571106 hAcc=11 et=+14d14h24m46s122ms alt=576.0316162109375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10167;2018-06-04T23:53:55.79Z;onGpsStatusChangedStatus;10/28
10168;2018-06-04T23:53:55.82Z;onLocationChanged;Location[gps 48,119928,11,571106 hAcc=11 et=+14d14h24m47s133ms alt=575.9595947265625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10169;2018-06-04T23:53:55.82Z;onStatusChanged;2
10170;2018-06-04T23:53:56.42Z;onGpsStatusChanged;2
10171;2018-06-05T01:48:22.40Z;onGpsStatusChanged;1
10172;2018-06-05T01:48:23.45Z;onGpsStatusChangedStatus;6/23
10173;2018-06-05T01:48:23.80Z;onGpsStatusChangedStatus;0/23
10174;2018-06-05T01:48:24.80Z;onGpsStatusChangedStatus;0/24
10175;2018-06-05T01:48:25.80Z;onGpsStatusChangedStatus;0/24
10176;2018-06-05T01:48:26.81Z;onGpsStatusChangedStatus;0/24
10177;2018-06-05T01:48:26.82Z;onLocationChanged;Location[gps 48,119945,11,571069 hAcc=18 et=+14d16h19m18s136ms alt=552.4764404296875 vel=0.0 vAcc=32 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10178;2018-06-05T01:48:26.83Z;onStatusChanged;2
10179;2018-06-05T01:48:26.84Z;onGpsStatusChanged;3
10180;2018-06-05T01:48:27.81Z;onGpsStatusChangedStatus;7/24
10181;2018-06-05T01:48:27.84Z;onLocationChanged;Location[gps 48,119958,11,571082 hAcc=14 et=+14d16h19m19s144ms alt=550.4814453125 vel=0.0 vAcc=24 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10182;2018-06-05T01:48:27.85Z;onStatusChanged;2
10183;2018-06-05T01:48:28.80Z;onGpsStatusChangedStatus;7/24
10184;2018-06-05T01:48:28.82Z;onLocationChanged;Location[gps 48,119942,11,571071 hAcc=12 et=+14d16h19m20s135ms alt=554.849853515625 vel=0.0 vAcc=24 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10185;2018-06-05T01:48:28.83Z;onStatusChanged;2
10186;2018-06-05T01:48:29.80Z;onGpsStatusChangedStatus;7/24
10187;2018-06-05T01:48:29.82Z;onLocationChanged;Location[gps 48,119948,11,571103 hAcc=12 et=+14d16h19m21s136ms alt=552.485595703125 vel=0.0 vAcc=16 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10188;2018-06-05T01:48:29.82Z;onStatusChanged;2
10189;2018-06-05T01:48:30.80Z;onGpsStatusChangedStatus;7/24
10190;2018-06-05T01:48:30.83Z;onLocationChanged;Location[gps 48,119952,11,571106 hAcc=9 et=+14d16h19m22s136ms alt=552.807373046875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10191;2018-06-05T01:48:30.84Z;onStatusChanged;2
10192;2018-06-05T01:48:31.80Z;onGpsStatusChangedStatus;7/24
10193;2018-06-05T01:48:31.82Z;onLocationChanged;Location[gps 48,119952,11,571119 hAcc=10 et=+14d16h19m23s140ms alt=554.769287109375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10194;2018-06-05T01:48:31.83Z;onStatusChanged;2
10195;2018-06-05T01:48:32.80Z;onGpsStatusChangedStatus;7/24
10196;2018-06-05T01:48:32.83Z;onLocationChanged;Location[gps 48,119946,11,571117 hAcc=9 et=+14d16h19m24s141ms alt=555.913818359375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10197;2018-06-05T01:48:32.85Z;onStatusChanged;2
10198;2018-06-05T01:48:33.80Z;onGpsStatusChangedStatus;9/24
10199;2018-06-05T01:48:33.83Z;onLocationChanged;Location[gps 48,119948,11,571131 hAcc=9 et=+14d16h19m25s139ms alt=557.8349609375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10200;2018-06-05T01:48:33.83Z;onStatusChanged;2
10201;2018-06-05T01:48:34.80Z;onGpsStatusChangedStatus;10/24
10202;2018-06-05T01:48:34.82Z;onLocationChanged;Location[gps 48,119960,11,571153 hAcc=10 et=+14d16h19m26s135ms alt=556.818359375 vel=0.0 vAcc=16 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10203;2018-06-05T01:48:34.83Z;onStatusChanged;2
10204;2018-06-05T01:48:35.80Z;onGpsStatusChangedStatus;11/24
10205;2018-06-05T01:48:35.82Z;onLocationChanged;Location[gps 48,119957,11,571147 hAcc=8 et=+14d16h19m27s137ms alt=557.00048828125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10206;2018-06-05T01:48:35.83Z;onStatusChanged;2
10207;2018-06-05T01:48:36.80Z;onGpsStatusChangedStatus;13/24
10208;2018-06-05T01:48:36.82Z;onLocationChanged;Location[gps 48,119957,11,571145 hAcc=6 et=+14d16h19m28s135ms alt=557.022216796875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10209;2018-06-05T01:48:36.83Z;onStatusChanged;2
10210;2018-06-05T01:48:37.81Z;onGpsStatusChangedStatus;13/24
10211;2018-06-05T01:48:37.83Z;onLocationChanged;Location[gps 48,119941,11,571100 hAcc=6 et=+14d16h19m29s139ms alt=561.833740234375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10212;2018-06-05T01:48:37.83Z;onStatusChanged;2
10213;2018-06-05T01:48:38.81Z;onGpsStatusChangedStatus;14/24
10214;2018-06-05T01:48:38.85Z;onLocationChanged;Location[gps 48,119937,11,571087 hAcc=6 et=+14d16h19m30s142ms alt=563.311767578125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10215;2018-06-05T01:48:38.85Z;onStatusChanged;2
10216;2018-06-05T01:48:39.81Z;onGpsStatusChangedStatus;14/24
10217;2018-06-05T01:48:39.84Z;onLocationChanged;Location[gps 48,119933,11,571073 hAcc=8 et=+14d16h19m31s143ms alt=564.90673828125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10218;2018-06-05T01:48:39.85Z;onStatusChanged;2
10219;2018-06-05T01:48:40.82Z;onGpsStatusChangedStatus;14/24
10220;2018-06-05T01:48:40.83Z;onLocationChanged;Location[gps 48,119925,11,571053 hAcc=8 et=+14d16h19m32s137ms alt=566.892822265625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10221;2018-06-05T01:48:41.81Z;onGpsStatusChangedStatus;14/24
10222;2018-06-05T01:48:41.85Z;onLocationChanged;Location[gps 48,119916,11,571028 hAcc=8 et=+14d16h19m33s142ms alt=569.553466796875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10223;2018-06-05T01:48:41.85Z;onStatusChanged;2
10224;2018-06-05T01:48:42.81Z;onGpsStatusChangedStatus;15/24
10225;2018-06-05T01:48:42.85Z;onLocationChanged;Location[gps 48,119909,11,571005 hAcc=8 et=+14d16h19m34s143ms alt=572.048583984375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10226;2018-06-05T01:48:42.85Z;onStatusChanged;2
10227;2018-06-05T01:48:43.81Z;onGpsStatusChangedStatus;15/24
10228;2018-06-05T01:48:43.82Z;onLocationChanged;Location[gps 48,119903,11,570989 hAcc=8 et=+14d16h19m35s136ms alt=573.851806640625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10229;2018-06-05T01:48:43.82Z;onStatusChanged;2
10230;2018-06-05T01:48:44.81Z;onGpsStatusChangedStatus;14/24
10231;2018-06-05T01:48:44.83Z;onLocationChanged;Location[gps 48,119903,11,570987 hAcc=6 et=+14d16h19m36s154ms alt=574.1279296875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10232;2018-06-05T01:48:44.84Z;onStatusChanged;2
10233;2018-06-05T01:48:45.81Z;onGpsStatusChangedStatus;14/24
10234;2018-06-05T01:48:45.83Z;onLocationChanged;Location[gps 48,119911,11,570999 hAcc=6 et=+14d16h19m37s141ms alt=573.161865234375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10235;2018-06-05T01:48:45.83Z;onStatusChanged;2
10236;2018-06-05T01:48:46.80Z;onGpsStatusChangedStatus;13/24
10237;2018-06-05T01:48:46.83Z;onLocationChanged;Location[gps 48,119911,11,570999 hAcc=6 et=+14d16h19m38s136ms alt=573.1871337890625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10238;2018-06-05T01:48:46.83Z;onStatusChanged;2
10239;2018-06-05T01:48:47.81Z;onGpsStatusChangedStatus;12/24
